DIRECCIÓN;TIPO_EVENTO;SUBSECTOR;PROYECTO;TITULAR;MODALIDAD;LUGAR;DEPARTAMENTO;FECHA;HORA;ESTADO;NUMERO_ASISTENTES;NUMERO_MUJERES;NUMERO_HOMBRES;NUMERO_PREGUNTAS;FECHA_CORTE
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;HIDROCARBUROS;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “MEJORAS A LA SEGURIDAD ENERGÉTICA DEL PAÍS Y DESARROLLO DEL GASODUCTO SUR PERUANO – ESTACIÓN DE COMPRESIÓN ECHARATE, VARIANTE DE TRAZO KP 0+000 AL KP 4+000 Y COMPONENTES AUXILIARES;GASODUCTO SUR PERUANO S.A.;PRESENCIAL;LOCAL COMUNAL DEL ASENTAMIENTO RURAL TÚPAC AMARU, DISTRITO DE ECHARATE, PROVINCIA DE LA CONVENCIÓN EN EL DEPARTAMENTO DE CUSCO.;CUSCO;20160115;10:00:00;REALIZADO;NULL;NULL;NULL;17;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;HIDROCARBUROS;ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “CENTRAL TÉRMICA ATOCONGO;CELEPSA S.A.;PRESENCIAL;LOCAL DEL IE N°6029 - BARTOLOMÉ MITRE (JR. AMAZONAS N°252 - JOSÉ GÁLVEZ), DISTRITO DE VILLA MARÍA DEL TRIUNFO, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA;LIMA;20160115;18:00:00;REALIZADO;72;17;55;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;HIDROCARBUROS;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “MEJORAS A LA SEGURIDAD ENERGÉTICA DEL PAÍS Y DESARROLLO DEL GASODUCTO SUR PERUANO – ESTACIÓN DE COMPRESIÓN ECHARATE, VARIANTE DE TRAZO KP 0+000 AL KP 4+000 Y COMPONENTES AUXILIARES;GASODUCTO SUR PERUANO S.A.;PRESENCIAL;LOCAL COMUNAL DEL ASENTAMIENTO RURAL TÚPAC AMARU, DISTRITO DE ECHARATE, PROVINCIA DE LA CONVENCIÓN EN EL DEPARTAMENTO DE CUSCO.;CUSCO;20160212;10:00:00;REALIZADO;NULL;NULL;NULL;21;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “LÍNEA DE TRANSMISIÓN EN 220 KV MACHUPICCHU – QUENCORO – ONOCORA - TINTAYA Y SUBESTACIONES ASOCIADAS, VARIANTES HUAYOPATA, REALINEAMIENTOS Y COMPONENTES AUXILIARES;ATN 3 S.A.;PRESENCIAL;AUDITORIO MUNICIPAL DEL CP. HUYRO, DISTRITO DE HUAYOPATA, PROVINCIA DE LA CONVENCIÓN, REGIÓN CUSCO;CUSCO;20160217;10:00:00;REALIZADO;NULL;NULL;NULL;15;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “LÍNEA DE TRANSMISIÓN EN 220 KV MACHUPICCHU – QUENCORO – ONOCORA - TINTAYA Y SUBESTACIONES ASOCIADAS, VARIANTES HUAYOPATA, REALINEAMIENTOS Y COMPONENTES AUXILIARES;ATN 3 S.A.;PRESENCIAL;PATIO DEL SALÓN COMUNAL DE LA C.C. CHARA, DISTRITO DE SAN PABLO, PROVINCIA DE CANCHIS, REGIÓN CUSCO;CUSCO;20160217;18:00:00;REALIZADO;NULL;NULL;NULL;11;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “LÍNEA DE TRANSMISIÓN EN 220 KV MACHUPICCHU – QUENCORO – ONOCORA - TINTAYA Y SUBESTACIONES ASOCIADAS, VARIANTES HUAYOPATA, REALINEAMIENTOS Y COMPONENTES AUXILIARES;ATN 3 S.A.;PRESENCIAL;SALÓN COMUNAL DE LA C.C. CHACHAPOYAS, DISTRITO DE CHECACUPE, PROVINCIA DE CANCHIS, REGIÓN CUSCO;CUSCO;20160218;18:00:00;REALIZADO;NULL;NULL;NULL;6;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;MINERÍA;ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO “ANCOS”;APUMAYO S.A.C.;PRESENCIAL;LOCAL COMUNAL DEL CASERÍO PUEBLO NUEVO S/N, DISTRITO DE CHAVIÑA, PROVINCIA DE LUCANAS EN LA REGIÓN AYACUCHO.;AYACUCHO;20160219;08:00:00;REALIZADO;56;22;34;30;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “LÍNEA DE TRANSMISIÓN EN 220 KV MACHUPICCHU – QUENCORO – ONOCORA - TINTAYA Y SUBESTACIONES ASOCIADAS, VARIANTES HUAYOPATA, REALINEAMIENTOS Y COMPONENTES AUXILIARES;ATN 3 S.A.;PRESENCIAL;SALÓN COMUNAL DE LA C.C. OQUEBAMBA, DISTRITO DE KUNTURKANKI, PROVINCIA DE CANAS, REGIÓN CUSCO;CUSCO;20160219;09:00:00;REALIZADO;NULL;NULL;NULL;12;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “LÍNEA DE TRANSMISIÓN EN 220 KV MACHUPICCHU – QUENCORO – ONOCORA - TINTAYA Y SUBESTACIONES ASOCIADAS, VARIANTES HUAYOPATA, REALINEAMIENTOS Y COMPONENTES AUXILIARES;ATN 3 S.A.;PRESENCIAL;LOCAL COMUNAL DE LA C.C. PUNACANCHA, DISTRITO DE SAN SEBASTIÁN, PROVINCIA DE CUSCO, REGIÓN CUSCO;CUSCO;20160219;17:00:00;REALIZADO;NULL;NULL;NULL;15;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO “CENTRAL TÉRMICA ATOCONGO;CELEPSA S.A.;PRESENCIAL;LOCAL DEL IE N°6029 - BARTOLOMÉ MITRE (JR. AMAZONAS N°252 - JOSÉ GÁLVEZ), DISTRITO DE VILLA MARÍA DEL TRIUNFO, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA;LIMA;20160219;18:00:00;REALIZADO;85;29;56;36;20240530
