Año,Mes,Canal,N° de expediente,Num certificado exportacion,Sede,Razon envio,TExpoAnimal.EMBARQUE_FECHA,TExpoAnimal.DESEMBARQUE_FECHA,Producto ,Categoria de riesgo,Unidad de medida,Peso,Cantidad envase,Tipo envase,TExpoAnimal.ID_SERVICIO,Fecha inspeccion,Inspeccion hora,Medio transporte,Pc Salida,Orden vuce,Pais destino,Punto llegada,Estado,Tipo de proceso,Tasa
2023,1,VUCE,230180000623,231800000001,ICA,OTRO LUGAR DE INSPECCION,10/01/2023,11/01/2023,REPTILES,3,UNIDAD,5000,5000,CAJAS DE CARTON,31,09/01/2023,10:00:00,NULL,ICA,O2023007798,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,1,VUCE,230180005224,231800000002,ICA,OTRO LUGAR DE INSPECCION,31/01/2023,01/02/2023,REPTILES,3,UNIDAD,10000,10000,CAJAS DE CARTON,31,30/01/2023,10:00:00,NULL,ICA,O2023066617,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,2,VUCE,230180006535,231800000003,ICA,OTRO LUGAR DE INSPECCION,07/02/2023,08/02/2023,REPTILES,3,UNIDAD,5000,5000,CAJAS DE CARTON,31,06/02/2023,10:00:00,NULL,ICA,O2023084871,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,2,VUCE,230180009020,231800000004,ICA,OTRO LUGAR DE INSPECCION,14/02/2023,15/02/2023,REPTILES,3,UNIDAD,5000,5000,CAJAS DE CARTON,31,13/02/2023,10:00:00,NULL,ICA,O2023105821,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,2,VUCE,230180012662,231800000005,ICA,OTRO LUGAR DE INSPECCION,07/03/2023,08/03/2023,REPTILES,3,UNIDAD,2700,2700,CAJAS DE CARTON,31,06/03/2023,10:00:00,NULL,ICA,O2023152787,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,3,VUCE,230180014666,231800000008,ICA,OTRO LUGAR DE INSPECCION,28/03/2023,29/03/2023,REPTILES,3,UNIDAD,7000,7000,CAJAS DE CARTON,31,27/03/2023,10:00:00,NULL,ICA,O2023209088,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,3,VUCE,230180012794,231800000006,ICA,OTRO LUGAR DE INSPECCION,07/03/2023,08/03/2023,REPTILES,3,UNIDAD,500,500,CAJAS DE CARTON,31,06/03/2023,10:00:00,NULL,ICA,O2023156473,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,3,VUCE,230180013250,231800000007,ICA,OTRO LUGAR DE INSPECCION,07/03/2023,08/03/2023,REPTILES,3,UNIDAD,2300,2300,CAJAS DE CARTON,31,06/03/2023,10:00:00,NULL,ICA,O2023164336,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,5,VUCE,230180017520,231800000009,ICA,OTRO LUGAR DE INSPECCION,23/05/2023,24/05/2023,REPTILES,3,UNIDAD,2200,2200,CAJAS DE CARTON,31,22/05/2023,10:00:00,NULL,ICA,O2023353521,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,6,VUCE,230180018214,231800000010,ICA,OTRO LUGAR DE INSPECCION,06/06/2023,07/06/2023,REPTILES,3,UNIDAD,2200,2200,CAJAS DE CARTON,31,05/06/2023,10:00:00,NULL,ICA,O2023394603,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,6,VUCE,230180018234,231800000011,ICA,OTRO LUGAR DE INSPECCION,06/06/2023,07/06/2023,REPTILES,3,UNIDAD,800,800,CAJAS DE CARTON,31,05/06/2023,10:00:00,NULL,ICA,O2023394773,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,8,VUCE,230180020795,231800000012,ICA,OTRO LUGAR DE INSPECCION,15/08/2023,16/08/2023,REPTILES,3,UNIDAD,2000,2000,CAJAS DE CARTON,31,14/08/2023,10:00:00,NULL,ICA,O2023560459,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,8,VUCE,230180021795,231800000013,ICA,OTRO LUGAR DE INSPECCION,29/08/2023,30/08/2023,REPTILES,3,UNIDAD,2000,2000,CAJAS DE CARTON,31,28/08/2023,10:00:00,NULL,ICA,O2023611068,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,9,VUCE,230180022641,231800000014,ICA,OTRO LUGAR DE INSPECCION,19/09/2023,20/09/2023,REPTILES,3,UNIDAD,1750,1750,CAJAS DE CARTON,31,18/09/2023,10:00:00,NULL,ICA,O2023651102,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,9,VUCE,230180023409,231800000015,ICA,OTRO LUGAR DE INSPECCION,26/09/2023,27/09/2023,REPTILES,3,UNIDAD,1750,1750,CAJAS DE CARTON,31,25/09/2023,10:00:00,NULL,ICA,O2023686242,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,10,VUCE,230180024972,231800000016,ICA,OTRO LUGAR DE INSPECCION,24/10/2023,25/10/2023,REPTILES,3,UNIDAD,2140,2140,CAJAS DE CARTON,31,23/10/2023,10:00:00,NULL,ICA,O2023756298,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,11,VUCE,230180026883,231800000019,ICA,OTRO LUGAR DE INSPECCION,14/11/2023,15/11/2023,REPTILES,3,UNIDAD,1900,1900,CAJAS DE CARTON,31,13/11/2023,10:00:00,NULL,ICA,O2023826144,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,11,VUCE,230180026246,231800000017,ICA,OTRO LUGAR DE INSPECCION,07/11/2023,08/11/2023,REPTILES,3,UNIDAD,1182,1182,CAJAS DE CARTON,31,06/11/2023,10:00:00,NULL,ICA,O2023805643,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,11,VUCE,230180026252,231800000018,ICA,OTRO LUGAR DE INSPECCION,07/11/2023,08/11/2023,REPTILES,3,UNIDAD,240,240,CAJAS DE CARTON,31,06/11/2023,10:00:00,NULL,ICA,O2023805967,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,11,VUCE,230180027578,231800000020,ICA,OTRO LUGAR DE INSPECCION,21/11/2023,22/11/2023,REPTILES,3,UNIDAD,2116,2116,CAJAS DE CARTON,31,20/11/2023,10:00:00,NULL,ICA,O2023843260,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,12,VUCE,230180034572,231800000023,ICA,OTRO LUGAR DE INSPECCION,20/12/2023,21/12/2023,REPTILES,3,UNIDAD,4000,4000,CAJAS DE CARTON,31,19/12/2023,10:00:00,NULL,ICA,O2023934390,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,12,VUCE,230180032938,231800000021,ICA,OTRO LUGAR DE INSPECCION,12/12/2023,13/12/2023,REPTILES,3,UNIDAD,5000,5000,CAJAS DE CARTON,31,11/12/2023,10:00:00,NULL,ICA,O2023914463,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,12,VUCE,230180032939,231800000022,ICA,OTRO LUGAR DE INSPECCION,12/12/2023,13/12/2023,REPTILES,3,UNIDAD,120,120,CAJAS DE CARTON,31,11/12/2023,10:00:00,NULL,ICA,O2023914467,EL SALVADOR,"AEROPUERTO INTERNACIONAL MONSEÑOR
OSCAR ARNULFO ROMERO Y GALDAMEZ",ACTIVO,E,6.12
2023,1,BPM,230180005588,230160000008,ICA,EN ORIGEN,02/02/2023,02/02/2023,PERROS,0,NULL,0,1,KENNEL,NULL,30/01/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,CHILE,NULL,ACTIVO,E,6.12
2023,1,BPM,230180005244,230160000006,ICA,EN ORIGEN,31/01/2023,31/01/2023,PERROS,0,NULL,0,1,KENNEL,NULL,27/01/2023,13:01:00,AEREO,OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO,NULL,BRASIL,NULL,ACTIVO,E,6.12
