NUM;FECHA_CORTE;PERIODO;TIPO_LARGA_DISTANCIA;EMPRESA;CÓDIGO;TIPO_TRÁFICO;TRÁFICO;;;;;;;;
1;20240617;200301;Larga Distancia Nacional;AMERICA MOVIL PERU S.A.C.;D;Tráfico originado en líneas de telefonía móvil;845,533.00;;;;;;;;
2;20240617;200301;Larga Distancia Internacional - Saliente;AMERICA MOVIL PERU S.A.C.;D;Tráfico originado en líneas de telefonía móvil;301,219.00;;;;;;;;
3;20240617;200301;Larga Distancia Internacional - Entrante;AMERICA MOVIL PERU S.A.C.;H;No reportado;1,836,550.00;;;;;;;;
4;20240617;200301;Larga Distancia Nacional;AMERICATEL PERÚ S.A.;A;Preselección;206,750.00;;;;;;;;
5;20240617;200301;Larga Distancia Internacional - Saliente;AMERICATEL PERÚ S.A.;A;Preselección;219,576.00;;;;;;;;
6;20240617;200301;Larga Distancia Nacional;AMERICATEL PERÚ S.A.;B;Llamada por Llamada;8,874,441.00;;;;;;;;
7;20240617;200301;Larga Distancia Internacional - Saliente;AMERICATEL PERÚ S.A.;B;Llamada por Llamada;2,649,565.47;;;;;;;;
8;20240617;200301;Larga Distancia Nacional;AMERICATEL PERÚ S.A.;C;Tarjetas de Pago;1,207,865.00;;;;;;;;
9;20240617;200301;Larga Distancia Internacional - Saliente;AMERICATEL PERÚ S.A.;C;Tarjetas de Pago;265,033.00;;;;;;;;
10;20240617;200301;Larga Distancia Internacional - Entrante;AMERICATEL PERÚ S.A.;H;No reportado;10,008,342.00;;;;;;;;
11;20240617;200301;Larga Distancia Nacional;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;A;Preselección;41,383.00;;;;;;;;
12;20240617;200301;Larga Distancia Internacional - Saliente;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;A;Preselección;19,232.00;;;;;;;;
13;20240617;200301;Larga Distancia Nacional;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;D;Tráfico originado en líneas de telefonía móvil;1,089,336.00;;;;;;;;
14;20240617;200301;Larga Distancia Internacional - Saliente;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;D;Tráfico originado en líneas de telefonía móvil;337,520.00;;;;;;;;
15;20240617;200301;Larga Distancia Nacional;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;E;Tráfico originado en teléfonos de uso público de la empresa;80,399.00;;;;;;;;
16;20240617;200301;Larga Distancia Internacional - Saliente;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;E;Tráfico originado en teléfonos de uso público de la empresa;28,881.00;;;;;;;;
17;20240617;200301;Larga Distancia Internacional - Entrante;BELLSOUTH PERÚ S.A. / COMUNICACIONES MÓVILES;H;No reportado;2,787,755.00;;;;;;;;
18;20240617;200301;Larga Distancia Internacional - Entrante;CIRION TECHNOLOGIES PERÚ S.A.;H;No reportado;10,080,070.62;;;;;;;;
19;20240617;200301;Larga Distancia Nacional;COMPAÑÍA TELEFÓNICA ANDINA S.A.;C;Tarjetas de Pago;1,442.00;;;;;;;;
20;20240617;200301;Larga Distancia Internacional - Saliente;COMPAÑÍA TELEFÓNICA ANDINA S.A.;C;Tarjetas de Pago;971.00;;;;;;;;
21;20240617;200301;Larga Distancia Internacional - Entrante;COMPAÑÍA TELEFÓNICA ANDINA S.A.;H;No reportado;1,516,634.00;;;;;;;;
22;20240617;200301;Larga Distancia Nacional;CONVERGIA PERÚ S.A.;A;Preselección;35,217.00;;;;;;;;
