"ORDEN
ALFABÉTICO";"ORDEN 
PRESUPUESTAL";DEPARTAMENTO;PROVINCIA;GOBIERNOS LOCALES; PIA ; PIM ;Puntaje de PIM; Certificación ; Compromiso Anual ; Atención de Compromiso Mensual  ; Devengado  ; Girado  ;Avance % ;Puntaje de Avance; Población ;Puntaje de Población;TOTAL;;;;;;;;;;;;
837;1;LIMA;LIMA;150123-301272: MUNICIPALIDAD DISTRITAL DE PACHACAMAC; S/60,880 ; S/1,439,229 ;5; S/1,439,228 ; S/1,438,148 ; S/1,438,148 ; S/1,438,148 ; S/1,438,148 ;99.9;5; S/142,133 ;5;15;;PIM- LEYENDA (SOLES);;;;AVANCE % ;;;;;;
846;2;LIMA;LIMA;150133-301282: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES; S/-   ; S/1,307,774 ;5; S/1,307,773 ; S/1,307,773 ; S/1,307,773 ; S/1,298,142 ; S/1,298,142 ;99.3;5; S/412,865 ;5;15;; S/-   ; S/999 ;1;;0;40.99;1;;;;1
822;3;LIMA;LIMA;150106-301255: MUNICIPALIDAD DISTRITAL DE CARABAYLLO; S/128,000 ; S/3,231,835 ;5; S/3,231,832 ; S/3,231,832 ; S/3,231,832 ; S/3,200,471 ; S/3,200,471 ;99;5; S/400,414 ;5;15;; S/1,000 ; S/100,000 ;2;;41;60;2;;;;2
415;4;CUSCO ;CUSCO;080101-300684: MUNICIPALIDAD PROVINCIAL DEL CUZCO; S/1,235,300 ; S/2,022,286 ;5; S/1,997,080 ; S/1,995,475 ; S/1,995,475 ; S/1,994,140 ; S/1,994,140 ;98.6;5; S/118,217 ;5;15;; S/100,001 ; S/500,000 ;3;;60.01;80;3;;;;3
1017;5;PUNO;PUNO;210101-301593: MUNICIPALIDAD PROVINCIAL DE PUNO; S/112,919 ; S/1,582,043 ;5; S/1,572,928 ; S/1,560,684 ; S/1,560,654 ; S/1,559,956 ; S/1,559,956 ;98.6;5; S/230,219 ;5;15;; S/500,001 ; S/1,000,000 ;4;;80.01;90;4;;;;4
848;6;LIMA;LIMA;150135-301284: MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES; S/956,199 ; S/1,784,164 ;5; S/1,776,666 ; S/1,776,666 ; S/1,702,297 ; S/1,702,297 ; S/1,701,247 ;95.4;5; S/744,050 ;5;15;; S/1,000,001 ; S/120,000,000 ;5;;90.01;100;5;;;;5
1160;7;TACNA;TACNA;230101-301778: MUNICIPALIDAD PROVINCIAL DE TACNA; S/15,000 ; S/2,402,166 ;5; S/2,393,076 ; S/2,365,899 ; S/2,263,990 ; S/2,263,382 ; S/2,263,382 ;94.2;5; S/346,192 ;5;15;;;;;;;;;;;;
735;8;LA LIBERTAD;TRUJILLO;130101-301127: MUNICIPALIDAD PROVINCIAL DE TRUJILLO; S/3,298,043 ; S/1,654,913 ;5; S/1,646,443 ; S/1,589,558 ; S/1,583,442 ; S/1,557,242 ; S/1,557,242 ;94.1;5; S/344,374 ;5;15;;POBLACIÓN;;;;;;;;;;
828;9;LIMA;LIMA;150114-301263: MUNICIPALIDAD DISTRITAL DE LA MOLINA; S/1,181,506 ; S/1,217,686 ;5; S/1,141,653 ; S/1,141,319 ; S/1,141,319 ; S/1,141,319 ; S/1,141,319 ;93.7;5; S/160,244 ;5;15;;0;1000;1;;;;;;;;
494;10;CUSCO ;QUISPICANCHIS;081201-300773: MUNICIPALIDAD PROVINCIAL DE QUISPICANCHIS - URCOS; S/-   ; S/3,231,014 ;5; S/3,081,463 ; S/3,034,189 ; S/3,031,426 ; S/3,011,315 ; S/3,010,667 ;93.2;5; S/101,735 ;5;15;;1001;10000;2;;;;;;;;
152;11;APURIMAC;ABANCAY;030101-300251: MUNICIPALIDAD PROVINCIAL DE ABANCAY; S/60,000 ; S/5,572,788 ;5; S/5,293,933 ; S/5,072,833 ; S/5,063,858 ; S/5,063,858 ; S/5,063,858 ;90.9;5; S/120,116 ;5;15;;10001;50000;3;;;;;;;;
571;12;HUANUCO;HUANUCO;100101-300885: MUNICIPALIDAD PROVINCIAL DE HUANUCO; S/11,500 ; S/3,073,219 ;5; S/3,027,302 ; S/3,021,375 ; S/2,822,997 ; S/2,778,302 ; S/2,778,302 ;90.4;5; S/315,799 ;5;15;;50001;100000;4;;;;;;;;
1109;13;PUNO;SAN ROMAN;211201-301685: MUNICIPALIDAD PROVINCIAL DE SANDIA; S/955,932 ; S/3,713,664 ;5; S/3,693,571 ; S/3,693,541 ; S/3,693,541 ; S/3,693,541 ; S/3,693,541 ;99.5;5; S/56,088 ;4;14;;100001;9999999;5;;;;;;;;
978;14;PIURA;AYABACA;200202-301539: MUNICIPALIDAD DISTRITAL DE FRIAS; S/300,000 ; S/779,478 ;4; S/775,711 ; S/769,537 ; S/769,537 ; S/769,537 ; S/769,537 ;98.7;5; S/117,680 ;5;14;;;;;;;;;;;;
839;15;LIMA;LIMA;150125-301274: MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA; S/362,018 ; S/669,591 ;4; S/668,555 ; S/660,358 ; S/660,358 ; S/660,358 ; S/660,358 ;98.6;5; S/395,819 ;5;14;;;;;;;;;;;;
435;16;CUSCO ;CALCA;080401-300708: MUNICIPALIDAD PROVINCIAL DE CALCA; S/1,662,808 ; S/2,391,754 ;5; S/2,332,442 ; S/2,332,442 ; S/2,332,442 ; S/2,324,421 ; S/2,324,421 ;97.2;5; S/71,582 ;4;14;;;;;;;;;;;;
845;17;LIMA;LIMA;150132-301281: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO; S/891,008 ; S/626,976 ;4; S/622,565 ; S/618,623 ; S/607,968 ; S/607,802 ; S/607,802 ;96.9;5; S/1,177,629 ;5;14;;;;;;;;;;;;
1087;18;PUNO;MELGAR;210801-301663: MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI; S/746,200 ; S/1,307,623 ;5; S/1,304,276 ; S/1,250,238 ; S/1,250,182 ; S/1,250,182 ; S/1,250,182 ;95.6;5; S/69,693 ;4;14;;;;;;;;;;;;
938;19;MOQUEGUA;MARISCAL NIETO;180101-301481: MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO - MOQUEGUA; S/1,703,025 ; S/8,014,425 ;5; S/7,899,825 ; S/7,625,970 ; S/7,570,357 ; S/7,570,357 ; S/7,570,357 ;94.5;5; S/85,349 ;4;14;;;;;;;;;;;;
831;20;LIMA;LIMA;150117-301266: MUNICIPALIDAD DISTRITAL DE LOS OLIVOS; S/1,124,650 ; S/613,768 ;4; S/579,607 ; S/579,607 ; S/579,607 ; S/579,607 ; S/579,607 ;94.4;5; S/351,983 ;5;14;;;;;;;;;;;;
411;21;CALLAO;PROV. CALLAO;070102-300678: MUNICIPALIDAD DISTRITAL DE BELLAVISTA; S/198,940 ; S/1,074,580 ;5; S/1,023,167 ; S/1,012,415 ; S/1,010,252 ; S/1,010,252 ; S/1,010,252 ;94;5; S/80,704 ;4;14;;;;;;;;;;;;
