year,place,weighted_score
14,Cineplanet Plaza San Miguel,0.0
15,Cineplanet Centro Cívico,0.0
16,CINESTAR SAN JUAN,0.0
16,CineStar Benavides,0.0
16,Cineplanet Centro Cívico,0.0
16,Cineplanet Plaza San Miguel,0.0
16,Cinestar UNI,0.0
16,UVK Multicines El Agustino,0.0
17,CINESTAR SAN JUAN,-0.3125
17,CineStar Benavides,0.5
17,Cineplanet Centro Cívico,-0.1111111111111111
17,Cineplanet Plaza San Miguel,0.0
17,Cineplanet Salaverry,0.0
17,Cinestar UNI,0.5
17,UVK Multicines El Agustino,0.0
18,CINESTAR SAN JUAN,0.0
18,CineStar Benavides,-0.041666666666666664
18,Cineplanet Centro Cívico,0.0
18,Cineplanet Plaza San Miguel,-0.38461538461538464
18,Cineplanet Salaverry,0.3333333333333333
18,Cinestar UNI,0.125
18,UVK Multicines El Agustino,-0.1
18,UVK Platino Panorama,0.14285714285714285
19,CINESTAR SAN JUAN,0.0
19,CineStar Benavides,0.1891891891891892
19,Cineplanet Brasil,-0.1346153846153846
19,Cineplanet Centro Cívico,0.13513513513513514
19,Cineplanet Plaza San Miguel,0.09090909090909091
19,Cineplanet Salaverry,1.1176470588235294
19,Cinestar UNI,-0.2765957446808511
19,UVK Multicines El Agustino,0.11764705882352941
19,UVK Platino Panorama,0.0
20,CINESTAR SAN JUAN,-0.18518518518518517
20,CineStar Benavides,-0.28
20,Cineplanet Brasil,-0.08333333333333333
20,Cineplanet Centro Cívico,0.109375
20,Cineplanet Plaza San Miguel,-0.015151515151515152
20,Cineplanet Salaverry,0.15
20,Cinestar UNI,-0.15625
20,UVK Multicines El Agustino,0.16
20,UVK Platino Panorama,0.06140350877192982
21,CINESTAR SAN JUAN,0.0
21,CineStar Benavides,1.5
21,Cinestar UNI,0.0
21,UVK Multicines El Agustino,0.0
21,UVK Platino Panorama,0.0
22,CINESTAR SAN JUAN,-0.9
22,CineStar Benavides,0.0
22,Cineplanet Brasil,0.0
22,Cineplanet Centro Cívico,1.4166666666666667
22,Cineplanet Plaza San Miguel,1.0
22,Cineplanet Salaverry,0.7
22,Cinestar UNI,0.0
22,UVK Multicines El Agustino,0.0
22,UVK Platino Panorama,0.29411764705882354
23,CINESTAR SAN JUAN,-0.18181818181818182
23,CineStar Benavides,0.0851063829787234
23,Cineplanet Brasil,-0.53125
23,Cineplanet Centro Cívico,0.0
23,Cineplanet Plaza San Miguel,0.55
23,Cineplanet Salaverry,1.2702702702702702
23,Cinestar UNI,-0.275
23,UVK Multicines El Agustino,0.05128205128205128
23,UVK Platino Panorama,-0.18604651162790697
24,CINESTAR SAN JUAN,-0.015789473684210527
24,CineStar Benavides,-0.005813953488372093
24,Cineplanet Brasil,-0.05442176870748299
24,Cineplanet Centro Cívico,0.006622516556291391
24,Cineplanet Plaza San Miguel,-0.15328467153284672
24,Cineplanet Salaverry,0.5666666666666667
24,Cinestar UNI,0.06060606060606061
24,UVK Multicines El Agustino,-0.05027932960893855
24,UVK Platino Panorama,0.125
25,CINESTAR SAN JUAN,-0.06666666666666667
25,CineStar Benavides,0.0
25,Cineplanet Brasil,0.0425531914893617
25,Cineplanet Centro Cívico,-0.16216216216216217
25,Cineplanet Plaza San Miguel,0.0
25,Cineplanet Salaverry,0.24
25,Cinestar UNI,0.0
25,UVK Multicines El Agustino,0.21739130434782608
25,UVK Platino Panorama,0.0
