year_month,place,weighted_score
01/25,CINESTAR SAN JUAN,0.0
01/25,CineStar Benavides,0.0
01/25,Cineplanet Brasil,0.16666666666666666
01/25,Cineplanet Centro Cívico,0.0
01/25,Cineplanet Plaza San Miguel,-0.3
01/25,Cineplanet Salaverry,0.3333333333333333
01/25,Cinestar UNI,0.0
01/25,UVK Multicines El Agustino,0.625
01/25,UVK Platino Panorama,0.0
02/25,CINESTAR SAN JUAN,0.0
02/25,CineStar Benavides,0.0
02/25,Cineplanet Brasil,-0.07142857142857142
02/25,Cineplanet Centro Cívico,-0.2727272727272727
02/25,Cineplanet Plaza San Miguel,0.07692307692307693
02/25,Cineplanet Salaverry,0.2608695652173913
02/25,Cinestar UNI,0.0
02/25,UVK Multicines El Agustino,0.0
02/25,UVK Platino Panorama,0.0
03/14,Cineplanet Plaza San Miguel,0.0
03/15,Cineplanet Centro Cívico,0.0
03/16,CINESTAR SAN JUAN,0.0
03/16,CineStar Benavides,0.0
03/16,Cineplanet Centro Cívico,0.0
03/16,Cineplanet Plaza San Miguel,0.0
03/16,Cinestar UNI,0.0
03/16,UVK Multicines El Agustino,0.0
03/17,CINESTAR SAN JUAN,-0.3125
03/17,CineStar Benavides,0.5
03/17,Cineplanet Centro Cívico,-0.1111111111111111
03/17,Cineplanet Plaza San Miguel,0.0
03/17,Cineplanet Salaverry,0.0
03/17,Cinestar UNI,0.5
03/17,UVK Multicines El Agustino,0.0
03/18,CINESTAR SAN JUAN,0.0
03/18,CineStar Benavides,-0.041666666666666664
03/18,Cineplanet Centro Cívico,0.0
03/18,Cineplanet Plaza San Miguel,-0.38461538461538464
03/18,Cineplanet Salaverry,0.3333333333333333
03/18,Cinestar UNI,0.125
03/18,UVK Multicines El Agustino,-0.1
03/18,UVK Platino Panorama,0.14285714285714285
03/19,CINESTAR SAN JUAN,0.0
03/19,CineStar Benavides,0.1891891891891892
03/19,Cineplanet Brasil,-0.1346153846153846
03/19,Cineplanet Centro Cívico,0.13513513513513514
03/19,Cineplanet Plaza San Miguel,0.09090909090909091
03/19,Cineplanet Salaverry,1.1176470588235294
03/19,Cinestar UNI,-0.2765957446808511
03/19,UVK Multicines El Agustino,0.11764705882352941
03/19,UVK Platino Panorama,0.0
03/20,CINESTAR SAN JUAN,-0.18518518518518517
03/20,CineStar Benavides,-0.28
03/20,Cineplanet Brasil,-0.08333333333333333
03/20,Cineplanet Centro Cívico,0.109375
03/20,Cineplanet Plaza San Miguel,-0.015151515151515152
03/20,Cineplanet Salaverry,0.15
03/20,Cinestar UNI,-0.15625
03/20,UVK Multicines El Agustino,0.16
03/20,UVK Platino Panorama,0.06140350877192982
03/21,CINESTAR SAN JUAN,0.0
03/21,CineStar Benavides,1.5
03/21,Cinestar UNI,0.0
03/21,UVK Multicines El Agustino,0.0
03/21,UVK Platino Panorama,0.0
03/22,CINESTAR SAN JUAN,-0.9
03/22,CineStar Benavides,0.0
03/22,Cineplanet Brasil,0.0
03/22,Cineplanet Centro Cívico,1.4166666666666667
03/22,Cineplanet Plaza San Miguel,1.0
03/22,Cineplanet Salaverry,0.7
03/22,Cinestar UNI,0.0
03/22,UVK Multicines El Agustino,0.0
03/22,UVK Platino Panorama,0.29411764705882354
03/23,CINESTAR SAN JUAN,-0.18181818181818182
03/23,CineStar Benavides,0.0851063829787234
03/23,Cineplanet Brasil,-0.53125
03/23,Cineplanet Centro Cívico,0.0
03/23,Cineplanet Plaza San Miguel,0.55
03/23,Cineplanet Salaverry,1.2702702702702702
03/23,Cinestar UNI,-0.275
03/23,UVK Multicines El Agustino,0.05128205128205128
03/23,UVK Platino Panorama,-0.18604651162790697
03/24,CINESTAR SAN JUAN,-0.06172839506172839
03/24,CineStar Benavides,0.045871559633027525
03/24,Cineplanet Brasil,0.07692307692307693
03/24,Cineplanet Centro Cívico,0.13333333333333333
03/24,Cineplanet Plaza San Miguel,-0.0392156862745098
03/24,Cineplanet Salaverry,0.7954545454545454
03/24,Cinestar UNI,0.09195402298850575
03/24,UVK Multicines El Agustino,-0.12359550561797752
03/24,UVK Platino Panorama,0.18181818181818182
03/25,CINESTAR SAN JUAN,-0.2
03/25,CineStar Benavides,0.0
03/25,Cineplanet Brasil,0.0
03/25,Cineplanet Centro Cívico,-0.1875
03/25,Cineplanet Plaza San Miguel,0.2777777777777778
03/25,Cineplanet Salaverry,0.13333333333333333
03/25,Cinestar UNI,0.0
03/25,UVK Multicines El Agustino,0.0
03/25,UVK Platino Panorama,0.0
04/24,CINESTAR SAN JUAN,0.23076923076923078
04/24,CineStar Benavides,0.0
04/24,Cineplanet Brasil,-0.1111111111111111
04/24,Cineplanet Centro Cívico,0.3333333333333333
04/24,Cineplanet Plaza San Miguel,-1.8333333333333333
04/24,Cineplanet Salaverry,0.625
04/24,Cinestar UNI,0.0
04/24,UVK Multicines El Agustino,0.0
04/24,UVK Platino Panorama,0.0
05/24,CINESTAR SAN JUAN,0.0
05/24,CineStar Benavides,0.1
05/24,Cineplanet Brasil,-0.625
05/24,Cineplanet Centro Cívico,-0.6666666666666666
05/24,Cineplanet Plaza San Miguel,-1.2
05/24,Cineplanet Salaverry,0.0
05/24,Cinestar UNI,0.0
05/24,UVK Multicines El Agustino,0.0
05/24,UVK Platino Panorama,-3.0
06/24,CINESTAR SAN JUAN,0.05555555555555555
06/24,CineStar Benavides,0.0
06/24,Cineplanet Brasil,-0.4166666666666667
06/24,Cineplanet Centro Cívico,0.18181818181818182
06/24,Cineplanet Plaza San Miguel,0.0
06/24,Cineplanet Salaverry,-0.5
06/24,Cinestar UNI,0.0
06/24,UVK Multicines El Agustino,-0.2
06/24,UVK Platino Panorama,0.0
07/24,CINESTAR SAN JUAN,0.0
07/24,CineStar Benavides,0.0
07/24,Cineplanet Brasil,0.4444444444444444
07/24,Cineplanet Centro Cívico,0.0
07/24,Cineplanet Plaza San Miguel,0.0
07/24,Cineplanet Salaverry,1.625
07/24,Cinestar UNI,0.0
07/24,UVK Multicines El Agustino,0.0
08/24,CINESTAR SAN JUAN,-0.09523809523809523
08/24,CineStar Benavides,-0.46153846153846156
08/24,Cineplanet Brasil,0.0
08/24,Cineplanet Centro Cívico,0.058823529411764705
08/24,Cineplanet Plaza San Miguel,0.0
08/24,Cineplanet Salaverry,1.0
08/24,Cinestar UNI,0.0
08/24,UVK Multicines El Agustino,0.0
09/24,CINESTAR SAN JUAN,0.0
09/24,CineStar Benavides,0.0
09/24,Cineplanet Brasil,0.0
09/24,Cineplanet Centro Cívico,0.0
09/24,Cineplanet Plaza San Miguel,0.4117647058823529
09/24,Cineplanet Salaverry,-0.1111111111111111
09/24,Cinestar UNI,0.0
09/24,UVK Multicines El Agustino,0.0
09/24,UVK Platino Panorama,0.0
10/24,CINESTAR SAN JUAN,0.0
10/24,CineStar Benavides,0.0
10/24,Cineplanet Brasil,-0.3333333333333333
10/24,Cineplanet Centro Cívico,0.0
10/24,Cineplanet Plaza San Miguel,0.0
